"type","name","age","year","timingstart","timingend","value","unit","family"
"agecomp","survey1",6,17,0,0,166415.270837494,"numbers","imultinom(size=200)"
"agecomp","survey1",7,17,0,0,171406.60362315,"numbers","imultinom(size=200)"
"agecomp","survey1",8,17,0,0,128739.751785118,"numbers","imultinom(size=200)"
"agecomp","survey1",9,17,0,0,69733.1092831151,"numbers","imultinom(size=200)"
"agecomp","survey1",10,17,0,0,72517.653987858,"numbers","imultinom(size=200)"
"agecomp","survey1",11,17,0,0,35970.2663776389,"numbers","imultinom(size=200)"
"agecomp","survey1",12,17,0,0,161072.086795101,"numbers","imultinom(size=200)"
"agecomp","survey1",1,18,0,0,142225.281860196,"numbers","imultinom(size=200)"
"agecomp","survey1",2,18,0,0,642853.371844957,"numbers","imultinom(size=200)"
"agecomp","survey1",3,18,0,0,634987.625396581,"numbers","imultinom(size=200)"
"agecomp","survey1",4,18,0,0,321852.442153718,"numbers","imultinom(size=200)"
"agecomp","survey1",5,18,0,0,279604.786138767,"numbers","imultinom(size=200)"
"agecomp","survey1",6,18,0,0,154320.819491833,"numbers","imultinom(size=200)"
"agecomp","survey1",7,18,0,0,100050.770760433,"numbers","imultinom(size=200)"
"agecomp","survey1",8,18,0,0,102676.693559399,"numbers","imultinom(size=200)"
"agecomp","survey1",9,18,0,0,77014.9456427689,"numbers","imultinom(size=200)"
"agecomp","survey1",10,18,0,0,41695.3193047603,"numbers","imultinom(size=200)"
"agecomp","survey1",11,18,0,0,43352.4124291591,"numbers","imultinom(size=200)"
"agecomp","survey1",12,18,0,0,117785.390676628,"numbers","imultinom(size=200)"
"agecomp","survey1",1,19,0,0,188921.808782847,"numbers","imultinom(size=200)"
"agecomp","survey1",2,19,0,0,295369.691774428,"numbers","imultinom(size=200)"
"agecomp","survey1",3,19,0,0,603030.158495622,"numbers","imultinom(size=200)"
"agecomp","survey1",4,19,0,0,449175.854121755,"numbers","imultinom(size=200)"
"agecomp","survey1",5,19,0,0,211307.444688482,"numbers","imultinom(size=200)"
"agecomp","survey1",6,19,0,0,179310.297208697,"numbers","imultinom(size=200)"
"agecomp","survey1",7,19,0,0,98152.2372191323,"numbers","imultinom(size=200)"
"agecomp","survey1",8,19,0,0,63444.5535207199,"numbers","imultinom(size=200)"
"agecomp","survey1",9,19,0,0,65038.2534053389,"numbers","imultinom(size=200)"
"agecomp","survey1",10,19,0,0,48763.7182762293,"numbers","imultinom(size=200)"
"agecomp","survey1",11,19,0,0,26396.399158245,"numbers","imultinom(size=200)"
"agecomp","survey1",12,19,0,0,102005.774321686,"numbers","imultinom(size=200)"
"agecomp","survey1",1,20,0,0,131406.114988088,"numbers","imultinom(size=200)"
"agecomp","survey1",2,20,0,0,392596.936785108,"numbers","imultinom(size=200)"
"agecomp","survey1",3,20,0,0,277399.435822087,"numbers","imultinom(size=200)"
"agecomp","survey1",4,20,0,0,427306.562407853,"numbers","imultinom(size=200)"
"agecomp","survey1",5,20,0,0,295513.465245496,"numbers","imultinom(size=200)"
"agecomp","survey1",6,20,0,0,135816.297557839,"numbers","imultinom(size=200)"
"agecomp","survey1",7,20,0,0,114310.875284813,"numbers","imultinom(size=200)"
"agecomp","survey1",8,20,0,0,62386.7445546836,"numbers","imultinom(size=200)"
"agecomp","survey1",9,20,0,0,40282.2648509874,"numbers","imultinom(size=200)"
"agecomp","survey1",10,20,0,0,41277.6354348769,"numbers","imultinom(size=200)"
"agecomp","survey1",11,20,0,0,30944.1763577864,"numbers","imultinom(size=200)"
"agecomp","survey1",12,20,0,0,81474.9593390264,"numbers","imultinom(size=200)"
"agecomp","survey1",1,21,0,0,311053.353713599,"numbers","imultinom(size=200)"
"agecomp","survey1",2,21,0,0,273325.683919653,"numbers","imultinom(size=200)"
"agecomp","survey1",3,21,0,0,369343.373040786,"numbers","imultinom(size=200)"
"agecomp","survey1",4,21,0,0,197057.77231381,"numbers","imultinom(size=200)"
"agecomp","survey1",5,21,0,0,281975.02208525,"numbers","imultinom(size=200)"
"agecomp","survey1",6,21,0,0,190559.82174834,"numbers","imultinom(size=200)"
"agecomp","survey1",7,21,0,0,86875.0311741361,"numbers","imultinom(size=200)"
"agecomp","survey1",8,21,0,0,72904.986980957,"numbers","imultinom(size=200)"
"agecomp","survey1",9,21,0,0,39746.208133888,"numbers","imultinom(size=200)"
"agecomp","survey1",10,21,0,0,25653.4623199901,"numbers","imultinom(size=200)"
"agecomp","survey1",11,21,0,0,26283.5454339339,"numbers","imultinom(size=200)"
"agecomp","survey1",12,21,0,0,71578.0797043558,"numbers","imultinom(size=200)"
"agecomp","survey1",1,22,0,0,279453.374619135,"numbers","imultinom(size=200)"
"agecomp","survey1",2,22,0,0,630224.827263289,"numbers","imultinom(size=200)"
"agecomp","survey1",3,22,0,0,244884.751620051,"numbers","imultinom(size=200)"
"agecomp","survey1",4,22,0,0,244297.119355439,"numbers","imultinom(size=200)"
"agecomp","survey1",5,22,0,0,119320.521429642,"numbers","imultinom(size=200)"
"agecomp","survey1",6,22,0,0,165680.558793676,"numbers","imultinom(size=200)"
"agecomp","survey1",7,22,0,0,110747.238678825,"numbers","imultinom(size=200)"
"agecomp","survey1",8,22,0,0,50285.6717822262,"numbers","imultinom(size=200)"
"agecomp","survey1",9,22,0,0,42136.7714047959,"numbers","imultinom(size=200)"
"agecomp","survey1",10,22,0,0,22959.4898269143,"numbers","imultinom(size=200)"
"agecomp","survey1",11,22,0,0,14815.8010004107,"numbers","imultinom(size=200)"
"agecomp","survey1",12,22,0,0,56513.3135848103,"numbers","imultinom(size=200)"
"agecomp","survey1",1,23,0,0,171943.53334116,"numbers","imultinom(size=200)"
"agecomp","survey1",2,23,0,0,580851.639329342,"numbers","imultinom(size=200)"
"agecomp","survey1",3,23,0,0,592112.766368252,"numbers","imultinom(size=200)"
"agecomp","survey1",4,23,0,0,173624.005465956,"numbers","imultinom(size=200)"
"agecomp","survey1",5,23,0,0,160833.831863729,"numbers","imultinom(size=200)"
"agecomp","survey1",6,23,0,0,76749.3528623437,"numbers","imultinom(size=200)"
"agecomp","survey1",7,23,0,0,105702.760141288,"numbers","imultinom(size=200)"
